id,topic,geo_level,geo,year,number
75296,Asthma Hospitalizations (Youths and Adults),Borough,Bronx,2009,59.8
75297,Asthma Hospitalizations (Youths and Adults),Borough,Brooklyn,2009,29
75298,Asthma Hospitalizations (Youths and Adults),Borough,Manhattan,2009,23.7
75299,Asthma Hospitalizations (Youths and Adults),Borough,Queens,2009,15.7
75300,Asthma Hospitalizations (Youths and Adults),Borough,Staten Island,2009,21.6
101324,Asthma Hospitalizations (Youths and Adults),Borough,Bronx,2010,53.2
101325,Asthma Hospitalizations (Youths and Adults),Borough,Brooklyn,2010,26.9
101326,Asthma Hospitalizations (Youths and Adults),Borough,Manhattan,2010,20.8
101327,Asthma Hospitalizations (Youths and Adults),Borough,Queens,2010,15.3
101328,Asthma Hospitalizations (Youths and Adults),Borough,Staten Island,2010,19.3
127106,Asthma Hospitalizations (Youths and Adults),Borough,Bronx,2011,50.2
127107,Asthma Hospitalizations (Youths and Adults),Borough,Brooklyn,2011,26.7
127108,Asthma Hospitalizations (Youths and Adults),Borough,Manhattan,2011,19.5
127109,Asthma Hospitalizations (Youths and Adults),Borough,Queens,2011,15.1
127110,Asthma Hospitalizations (Youths and Adults),Borough,Staten Island,2011,20.7
154983,Asthma Hospitalizations (Youths and Adults),Borough,Bronx,2012,44.9
154984,Asthma Hospitalizations (Youths and Adults),Borough,Brooklyn,2012,24.3
154985,Asthma Hospitalizations (Youths and Adults),Borough,Manhattan,2012,18
154986,Asthma Hospitalizations (Youths and Adults),Borough,Queens,2012,14
154987,Asthma Hospitalizations (Youths and Adults),Borough,Staten Island,2012,20.8
